pali,thai
,ผู้เสด็จไปสู่ฐานะอันงามกล่าวคือพระนิพพาน
,ผู้เสด็จไปดี
,และผู้ตรัสดีแล้ว
,]\par
โลกวิทู,ทรงได้พระนามว่า
,
,โลกวิทู
,[
,ผู้รู้แจ้งโลก
,ด้วยเหตุเหล่านี้ๆ
,[
,คือ
,ในฐานะที่ทรงรู้แจ้งโลกทั้งโดยสภาวะ
,โดยสมุทัย
,โดยนิโรธ
,และโดยนิโรธคามินีปฏิปทา
,) \par
,ทรงได้พระนามว่า
,
,อนุตตระ
, [
,บุคคลผู้ประเสริฐไม่มีใครเสมอเหมือน
,ด้วยเหตุเหล่านี้ๆ
,[
,คือ
,ในฐานะที่ทรงเป็นผู้ประเสริฐกว่าบุคคลใดๆ
,โดยคุณธรรมมีศีล
,สมาธิ
,และปัญญา
,]\par
,ทรงได้พระนามว่า
,
,ปุริสทัมมสารถิ
, [
,นายสารถีผู้ฝึกบุรุษ
,ด้วยเหตุเหล่านี้ๆ
,[
,คือ
,ในฐานะที่ทรงเป็นศาสดาผู้มีความเชี่ยวชาญในการ
,อบรมสั่งสอนเหล่าเวไนยสัตว์
,]\par
สตฺถา,ทรงได้พระนามว่า
,
,ศาสดา
,[
,ครูผู้สอน
,ของเทวดาและมนุษย์
,ด้วยเหตุเหล่านี้ๆ
,[
,คือ
,ในฐานะที่ทรงเป็นผู้สั่งสอนเวไนยสัตว์ให้ได้ประโยชน์ทั้ง
,]\par
,ได้ทรงพระนามว่า
,
,พุทธะ
, [
,ผู้รู้
,ผู้ตื่น
,ผู้เบิกบาน
,ด้วยเหตุเหล่านี้ๆ
,[
,คือ
,ในฐานะที่ทรงเป็นผู้ตรัสรู้เญยยธรรมทั้งหลายทั้งปวง
,ฯลฯ
,]\par
,ได้ทรงพระนามว่า
,
,ภควา
, [
,พระผู้มีพระภาค
,ด้วยเหตุเหล่านี้ๆ
,[
,คือ
,ในฐานะที่ทรงเป็นผู้มีบุญญาธิการ
,ประการ
,ผู้ทรงจำแนก
,ผู้บำเพ็ญคุณธรรมอันสูงส่ง
,ผู้สำรอกตัณหาออกจากภพทั้ง
,ฯลฯ
,]\rquote   \par
โส (ภควา),พระผู้มีพระภาคพระองค์นั้น
,ทรงรู้แจ้งแล้ว
,ซึ่งโลกนี้
สเทวกํ,อันเป็นไปกับด้วยเทวโลก
สมารกํ,อันเป็นไปกับด้วยมารโลก
,อันเป็นไปกับด้วยพรหมโลก
ปชํ,ซึ่งหมู่สัตว์
สสฺสมณพฺราหฺมณึ,อันเป็นไปกับด้วยสมณะและพราหมณ์
,อันเป็นไปกับด้วยเทวดาและมนุษย์
อภิญฺญา,ด้วยพระปัญญาอันยิ่ง
สยํ,ด้วยพระองค์เอง
,ย่อมทรงประกาศให้ผู้อื่นรู้
,พระผู้มีพระภาคพระองค์นั้น
เทเสติ,ย่อมทรงแสดง
,ซึ่งพระธรรม
,อันมีความงามในเบื้องต้น
,อันมีความงามในท่ามกลาง
,อันมีความงามในที่สุด
,อันถึงพร้อมด้วยอรรถ
,อันถึงพร้อมด้วยพยัญชนะ
,ย่อมทรงประกาศ
,ซึ่งพรหมจรรย์
,อันบริสุทธิ์
เกวลปริปุณฺณํ,อันบริบูรณ์ครบถ้วน
,การได้พบเห็น
,ซึ่งพระอรหันต์
,ผู้ถึงพร้อมด้วยคุณสมบัติเช่นนั้น
,ย่อมเป็นการดีโดยแท้.
,ครั้งนั้น
พฺราหฺมณคหปติกา,พราหมณ์และคหบดี ท.
จมฺเปยฺยกา,ชาวเมืองจัมปา
(หุตฺวา),รวมตัวกันเป็นกลุ่มๆ
นิกฺขมิตฺวา,ออกแล้ว
จมฺปาย,จากเมืองจัมปา
=คณตํ ปตฺตา,เป็นผู้ถึงการรวมกันเป็นหมู่เดียว
โปกฺขรณี,สระโบกขรณี
คคฺครา,ชื่อว่าคัคครา
(อตฺถิ),มีอยู่
เยน=ยตฺถ ทิสาภาเค,ในส่วนแห่งทิศใด
อุปสงฺกมนฺติ,ย่อมเข้าไป
เตน=ตตฺถ=ตํ (ทิสาภาคํ),สู่ส่วนแห่งทิศนั้น.
,[
,๓๐๒]
เตน โข ปน สมเยน=ตสฺมึ สมเย,ในสมัยนั้น
โสณทณฺโฑ พฺราหฺมโณ,โสณทัณฑพราหมณ์
อุปคโต โหติ,เป็นผู้เข้าถึง
,ซึ่งการนอนกลางวัน
อุปริปาสาเท,ที่ชั้นบนแห่งปราสาท. \par
โสณทณฺโฑ พฺราหฺมโณ,โสณทัณฑพราหมณ์
อทฺทสา โข,ได้เห็นแล้ว
พฺราหฺมณคหปติเก,ซึ่งพราหมณ์และคหบดี ท.
จมฺเปยฺยเก,ชาวเมืองจัมปา
สํฆสํฆี (หุตฺวา),รวมตัวกันเป็นกลุ่มๆ
นิกฺขมิตฺวา,ออกแล้ว
จมฺปาย,จากเมืองจัมปา
คณีภูตา=คณตํ ปตฺตา,เป็นผู้ถึงการรวมกันเป็นหมู่เดียว
โปกฺขรณี,สระโบกขรณี
คคฺครา,ชื่อว่าคัคครา
(อตฺถิ),มีอยู่
เยน=ยตฺถ ทิสาภาเค,ในส่วนแห่งทิศใด
อุปสงฺกมนฺเต,ผู้กำลังเข้าไป
เตน=ตตฺถ=ตํ (ทิสาภาคํ),สู่ส่วนแห่งทิศนั้น.
(โส),โสณทัณฑพราหมณ์นั้น
ทิสฺวา,ครั้นเห็นแล้ว
อามนฺเตสิ,ถามแล้ว
,ซึ่งมหาอำมาตย์
อิติ,ว่า
โภ ขตฺเต,แน่ะท่านมหาอำมาตย์
พฺราหฺมณคหปติกา,พราหมณ์และคหบดี ท.
จมฺเปยฺยเก,ชาวเมืองจัมปา
สํฆสํฆี (หุตฺวา),รวมตัวกันเป็นกลุ่มๆ
นิกฺขมิตฺวา,ออกแล้ว
จมฺปาย,จากเมืองจัมปา
คณีภูตา=คณตํ ปตฺตา,เป็นผู้ถึงการรวมกันเป็นหมู่เดียว
โปกฺขรณี,สระโบกขรณี
คคฺครา,ชื่อว่าคัคครา
(อตฺถิ),มีอยู่
เยน=ยตฺถ ทิสาภาเค,ในส่วนแห่งทิศใด
อุปสงฺกมนฺติ,ย่อมเข้าไป
เตน=ตตฺถ=ตํ (ทิสาภาคํ),สู่ส่วนแห่งทิศนั้น
กึ นุ โข,เพราะเหตุอะไรหนอ
(ขตฺตา),มหาอำมาตย์
(อาห),กล่าวแล้ว
อิติ,ว่า
โภ,ท่านขอรับ
โคตโม,สมณะโคดม
สกฺยปุตฺโต,ผู้เป็นโอรสของเจ้าศากยะ
(นิกฺขมิตฺวา),เสด็จออกแล้ว
สกฺยกุลา,จากตระกูลศากยะ
ปพฺพชิโต,ผนวชแล้ว
อตฺถิ โข,มีอยู่
โส,สมณะ   โคดมนั้น
จาริกํ จรมาโน,กำลังเสด็จจาริกมา
องฺเคสุ,สู่แคว้นอังคะ
ภิกฺขุสํเฆน สทฺธึ,พร้อมกับหมู่แห่งพระภิกษุ
มหตา,หมู่ใหญ่
ปญฺจมตฺเตหิ ภิกฺขุสเตหิ,คือภิกษุประมาณ ๕๐๐ รูป
(อิทานิ),ในเวลานี้
จมฺปํ อนุปฺปตฺโต,ได้เสด็จถึงเมืองจำปาแล้ว
วิหรติ,ย่อมประทับอยู่
ตีเร,ใกล้ริมฝั่ง
โปกฺขรณิยา,แห่งสระโบกขรณี
คคฺคราย,ชื่อว่า    คัคครา
จมฺปายํ,ใกล้เมืองจัมปา.
ปน,อนึ่ง
,พระเกียรติคุณ
กลฺยาโณ,อันงาม
,ของท่านพระโคดมนั้น
,ได้ฟุ้งขจรครอบคลุมโลกทั้ง
,แล้ว
,โดยอาการอย่างนี้
,ว่า
,\lquote
,พระผู้มีพระภาคพระองค์นั้น
,ทรงได้พระนามว่า
,
,อรหัง
,[
,พระอรหันต์
อิติปิ=อิมินาจอิมินาจการเณน,ด้วยเหตุเหล่านี้ๆ
,[
,คือในฐานะเป็นผู้ไกลจากศัตรูคือกิเลส
,ผู้ทำลายซี่ล้อ
,เป็นผู้เหมาะแก่การเป็นรับจตุปัจจัย
,และทรงเป็นผู้ไม่มีที่ลับสำหรับการทำชั่ว
,ฯลฯ
,\par
,ทรงได้พระนามว่า
,
,สัมมาสัมพุทธะ
,[
,พระสัมมาสัมพุทธเจ้า
,ด้วยเหตุเหล่านี้ๆ
,[
,คือ
,ในฐานะที่ทรงเป็นผู้ตรัสรู้สรรพธรรมด้วยพระสยัมภุญาณโดยถูกต้องตามสภาพที่เป็นจริงด้วยพระองค์เอง
,ฯลฯ
,] \par
,ทรงได้พระนามว่า
,
,วิชชาจรณสัมปันนะ
,[
,ผู้ถึงพร้อมด้วยวิชชาและจรณะ
,ด้วยเหตุเหล่านี้ๆ
,[
,คือ
,ในฐานะที่ทรงถึงพร้อมด้วยวิชชา
,และจรณะ
,]\par
สุคโต,ทรงได้พระนามว่า
,
,สุคต
,[
,ผู้เสด็จไปดีและผู้ตรัสดีแล้ว
,ด้วยเหตุเหล่านี้ๆ
,[
,คือ
,ในฐานะที่ทรงเป็นผู้เสด็จไปสู่พระนิพพานด้วยเครื่องไปคืออริยมรรคอันงาม
,ผู้เสด็จไปสู่ฐานะอันงามกล่าวคือพระนิพพาน
,ผู้เสด็จไปดี
,และผู้ตรัสดีแล้ว
,]\par
โลกวิทู,ทรงได้พระนามว่า
,
,โลกวิทู
,[
,ผู้รู้แจ้งโลก
,ด้วยเหตุเหล่านี้ๆ
,[
,คือ
,ในฐานะที่ทรงรู้แจ้งโลกทั้งโดยสภาวะ
,โดยสมุทัย
,โดยนิโรธ
,และโดยนิโรธคามินีปฏิปทา
,) \par
,ทรงได้พระนามว่า
,
,อนุตตระ
, [
,บุคคลผู้ประเสริฐไม่มีใครเสมอเหมือน
,ด้วยเหตุเหล่านี้ๆ
,[
,คือ
,ในฐานะที่ทรงเป็นผู้ประเสริฐกว่าบุคคลใดๆ
,โดยคุณธรรมมีศีล
,สมาธิ
,และปัญญา
,]\par
,ทรงได้พระนามว่า
,
,ปุริสทัมมสารถิ
, [
,นายสารถีผู้ฝึกบุรุษ
,ด้วยเหตุเหล่านี้ๆ
,[
,คือ
,ในฐานะที่ทรงเป็นศาสดาผู้มีความเชี่ยวชาญในการ
,อบรมสั่งสอนเหล่าเวไนยสัตว์
,]\par
สตฺถา,ทรงได้พระนามว่า
,
,ศาสดา
,[
,ครูผู้สอน
,ของเทวดาและมนุษย์
,ด้วยเหตุเหล่านี้ๆ
,[
,คือ
,ในฐานะที่ทรงเป็นผู้สั่งสอนเวไนยสัตว์ให้ได้ประโยชน์ทั้ง
,]\par
,ได้ทรงพระนามว่า
,
,พุทธะ
, [
,ผู้รู้
,ผู้ตื่น
,ผู้เบิกบาน
,ด้วยเหตุเหล่านี้ๆ
,[
,คือ
,ในฐานะที่ทรงเป็นผู้ตรัสรู้เญยยธรรมทั้งหลายทั้งปวง
,ฯลฯ
,]\par
,ได้ทรงพระนามว่า
,
,ภควา
, [
,พระผู้มีพระภาค
,ด้วยเหตุเหล่านี้ๆ
,คือ
,ในฐานะที่ทรงเป็นผู้มีบุญญาธิการ
,ประการ
,ผู้ทรงจำแนก
,ผู้บำเพ็ญคุณธรรมอันสูงส่ง
,ผู้สำรอกตัณหาออกจากภพทั้ง
,ฯลฯ
,]\rquote   \par
โส (ภควา),พระผู้มีพระภาคพระองค์นั้น
,ทรงรู้แจ้งแล้ว
,ซึ่งโลกนี้
สเทวกํ,อันเป็นไปกับด้วยเทวโลก
สมารกํ,อันเป็นไปกับด้วยมารโลก
,อันเป็นไปกับด้วยพรหมโลก
ปชํ,ซึ่งหมู่สัตว์
สสฺสมณพฺราหฺมณึ,อันเป็นไปกับด้วยสมณะและพราหมณ์
,อันเป็นไปกับด้วยเทวดาและมนุษย์
อภิญฺญา,ด้วยพระปัญญาอันยิ่ง
สยํ,ด้วยพระองค์เอง
,ย่อมทรงประกาศให้ผู้อื่นรู้
,พระผู้มีพระภาคพระองค์นั้น
เทเสติ,ย่อมทรงแสดง
,ซึ่งพระธรรม
,อันมีความงามในเบื้องต้น
,อันมีความงามในท่ามกลาง
,อันมีความงามในที่สุด
,อันถึงพร้อมด้วยอรรถ
,อันถึงพร้อมด้วยพยัญชนะ
,ย่อมทรงประกาศ
,ซึ่งพรหมจรรย์
,อันบริสุทธิ์
เกวลปริปุณฺณํ,อันบริบูรณ์ครบถ้วน
,การได้พบเห็น
,ซึ่งพระอรหันต์
,ผู้ถึงพร้อมด้วยคุณสมบัติเช่นนั้น
,ย่อมเป็นการดีโดยแท้
เอเต (พฺราหฺมณคหปติกา),พราหมณ์และคหบดี ท. เหล่านี้
อุปสงฺกมนฺติ,ย่อมเข้าไป
ทสฺสนาย,เพื่อเฝ้า
โคตมํ,ซึ่งท่านโคดมนั้น
(โสณทณฺโฑ พฺราหฺมโณ),โสณทัณฑพราหมณ์
(อาห),กล่าวแล้ว
อิติ,ว่า
โภ ขตฺเต,แน่ะท่านมหาอำมาตย์
เตน หิ,ถ้าเช่นนั้น
พฺราหฺมณคหปติกา,พราหมณ์และคหบดี ท.
จมฺเปยฺยกา,ชาวเมืองจัมปา
(วิหรนฺติ,) ย่อมอยู่
เยน=ยตฺถ ทิสาภาเคน,ในส่วนแห่งทิศใด
ตฺวํ,ท่าน
อุปสงฺกม,จงเข้าไป
เตน=ตตฺถ=ตํ (ทิสาภาเค),สู่ส่วนแห่งทิศนั้น
อุปสงฺกมิตฺวา,เมื่อเข้าไปแล้ว
วเทหิ,จงกล่าว
พฺราหฺมณคหปติเก,กะพราหมณ์และคหบดี ท.
จมฺเปยฺยเก,ชาวจัมปา
เอวํ,อย่างนี้
อิติ,ว่า
โภ,แน่ะท่าน ท.
โสณทณฺโฑ พฺราหฺมโณ,โสณทัณฑพราหมณ์
อาห,กล่าวแล้ว
เอวํ,อย่างนี้
(อิติ),ว่า
ภวนฺโต,ขอให้ท่าน ท.
อาคเมนฺตุ กิร,จงรอก่อน
โสณทณฺโฑ พฺราหฺมโณ,โสณทัณฑพราหมณ์
อุปสงฺกมิสฺสติ,ก็จักเข้าไป
ทสฺสนาย,เพื่อเฝ้า
สมณํ โคตมํ,ซึ่งสมณโคดม
อปิ,เช่นกัน
โส ขตฺตา,มหาอำมาตย์นั้น
ปฏิสฺสุตฺวา,รับแล้ว
(วจนํ),ซึ่งคำ
โสณทณฺฑสฺส พฺราหฺมณสฺส,ของโสณทัณฑพราหมณ์
อิติ โข,ว่า
โภ,ข้าแต่ท่านผู้เจริญ
เอวํ=สาธุ,ดีละขอรับ
พฺราหฺมณคหปติกา,พราหมณ์และคหบดี ท.
จมฺเปยฺยกา,ชาวเมืองจัมปา
(วิหรนฺติ,) ย่อมอยู่
เยน=ยตฺถ ทิสาภาเคน,ในส่วนแห่งทิศใด
อุปสงฺกมิ,เข้าไป
เตน=ตตฺถ=ตํ (ทิสาภาเค),สู่ส่วนแห่งทิศนั้น
อุปสงฺกมิตฺวา,ครั้นเข้าไปแล้ว
อโวจ,ได้กล่าว
เอตํ (วจนํ),ซึ่งคำนี้
พฺราหฺมณคหปติเก,กะพราหมณ์และคหบดี ท.
จมฺเปยฺยเก,ชาวจัมปา
อิติ,ว่า
โภ,ท่าน ท.
โสณทณฺโฑ พฺราหฺมโณ,โสณทัณฑพราหมณ์
อาห,กล่าวแล้ว
เอวํ,อย่างนี้
(อิติ),ว่า
ภวนฺโต,ขอท่าน ท.
อาคเมนฺตุ กิร,จงรอก่อน
โสณทณฺโฑ พฺราหฺมโณ,โสณทัณฑพราหมณ์
อุปสงฺกมิสฺสติ,ก็จักเข้าไป
ทสฺสนาย,เพื่อเฝ้า
สมณํ โคตมํ,ซึ่งสมณโคดม
อปิ,เช่นกัน
,โสณทัณฑคุณกถา
โสณทัณฑคุณกถา\par,[คำกล่าวสรรเสริญโสณทัณฑพราหมณ์ ๑๒ ข้อ]
,[
,๓๐๓]
เตน โข ปน สมเยน=ตสฺมึสมเย,ในสมัยนั้น
พฺราหฺมณานํ ปญฺจมตฺตานิ พฺราหฺมณสตานิ,พราหมณ์ ท. ประมาณ ๕๐๐ คน
นานาเวรชฺชกานํ,ผู้มาจากแคว้นต่างๆ
ปฏิวสนฺติ,ย่อมพักอยู่
จมฺปายํ,ในเมืองจัมปา
กรณีเยน,ด้วยกิจ
เกนจิ เอว,บางอย่างนั่นเทียว
เต พฺราหฺมณา,พราหมณ์ ท. เหล่านั้น
อสฺโสสุํ โข,ได้ทราบข่าวแล้ว
อิติ,ว่า
กิร,ได้ยินมาว่า
โสณทณฺโฑ พฺราหฺมโณ,โสณทัณฑ-พราหมณ์
อุปสงฺกมิสฺสติ,จักเข้าไป
ทสฺสนาย,เพื่อเฝ้า
สมณํ โคตมํ,ซึ่งสมณโคดม
อถ โข,ครั้งนั้น
เต พฺราหฺมณา,พราหมณ์ ท. เหล่านั้น
โสณทณฺโฑ พฺราหฺมโณ,โสณทัณฑพราหมณ์
(วิหรนฺติ,) ย่อมอยู่
เยน=ยตฺถ ทิสาภาเคน,ในส่วนแห่งทิศใด
อุปสงฺกมึสุ,เข้าไป
เตน=ตตฺถ=ตํ (ทิสาภาเค),สู่ส่วนแห่งทิศนั้น
อุปสงฺกมิตฺวา,ครั้นเข้าไปแล้ว
อโวจุํ,ได้กล่าวแล้ว
เอตํ (วจนํ),ซึ่งคำนี้
โสณทณฺฑํ พฺราหฺมณํ,กะโสณทัณฑพราหมณ์
อิติ,ว่า
กิร,ได้ทราบว่า
โสณทณฺโฑ พฺราหฺมโณ,ท่านโสณทัณฑพราหมณ์
อุปสงฺกมิสฺสติ,ก็จักเข้าไป
ทสฺสนาย,เพื่อเฝ้า
สมณํ โคตมํ,ซึ่งสมณโคดม
สจฺจํ,จริงหรือ
โสณทณฺโฑ พฺราหฺมโณ,โสณทัณฑพราหมณ์
อาห,กล่าวแล้ว
อิติ,ว่า
โภ,แน่ะท่าน ท.
(ปริวิตกฺโก),ความคิด
เอวํ โข,อย่างนี้
โหติ,ย่อมมี
เม,แก่ข้าพเจ้า
อิติ,ว่า
อหํปิ,แม้เรา
อุปสงฺกมิสฺสามิ,ก็จักเข้าไป
ทสฺสนาย,เพื่อเฝ้า
สมณํ โคตมํ,ซึ่งสมณโคดม
(เต พฺราหฺมณา),พราหมณ์ ท. เหล่านั้น
(อาหํสุ),กล่าวแล้ว
อิติ,ว่า
ภวํ โสณทณฺโฑ,ท่านโสณทัณฑะ
มา อุปสงฺกมิ,จงอย่าเข้าไป
ทสฺสนาย,เพื่อเฝ้า
สมณํ โคตมํ,ซึ่งสมณโคดม
ภวํ โสณทณฺโฑ,ท่านโสณทัณฑะ
น อรหติ,ย่อมไม่สมควร
อุปสงฺกมิตุํ,ที่จะเข้าไป
ทสฺสนาย,เพื่อเฝ้า
สมณํ โคตมํ,ซึ่งสมณโคดม
,\par
สเจ,หากว่า
ภวํ โสณทณฺโฑ,ท่านโสณทัณฑะ
อุปสงฺกมิสฺสติ,จักเข้าไป
ทสฺสนาย,เพื่อเฝ้า
สมณํ โคตมํ,ซึ่งสมณโคดม
ยโส,ชื่อเสียงเกียรติยศ
โภโต โสณทณฺฑสฺส,ของท่านโสณทัณฑะ
หายิสฺสติ,จักเสื่อม
ยโส,ชื่อเสียงเกียรติยศ
สมณสฺส โคตมสฺส,ของสมณโคดม
อภิวฑฺฒิสฺสติ,จักรุ่งเรือง
,\par
ยมฺปิ=เยน องฺเคนปิ,เพราะเหตุที่
ยโส,ชื่อเสียงเกียรติยศ
โภโต โสณทณฺฑสฺส,ของท่านโสณทัณฑะ
หายิสฺสติ,จักเสื่อม
ยโส,ชื่อเสียงเกียรติยศ
สมณสฺส โคตมสฺส,ของสมณโคดม
อภิวฑฺฒิสฺสติ,จักรุ่งเรือง
,เพราะเหตุนี้แล
ภวํ โสณทณฺโฑ,ท่านโสณทัณฑะ
น อรหติ,จึงไม่สมควร
อุปสงฺกมิตุํ,ที่จะเข้าไป
ทสฺสนาย,เพื่อเฝ้า
สมณํ โคตมํ,ซึ่งสมณโคดม
,ในทางตรงข้าม
สมโณ โคตโม เอว,สมณ โคดมต่างหาก
อรหติ,ย่อมสมควร
ทสฺสนาย อุปสงฺกมิตุํ,เพื่อเข้ามาเยี่ยม
ภวนฺตํ โสณทณฺฑํํ,ซึ่งท่านโสณทัณฑะ.
ภวํ หิ โสณทณฺโฑ,ท่านโสณทัณฑะ
สุชาโต,เป็นผู้ถือกำเนิเกิดมาดี
,โดยทั้ง ๒ ฝ่าย
มาติโต จ,คือทั้งโดยฝ่ายมารดา
ปิติโต จ,และโดยฝ่ายบิดา
,เป็นผู้ถือกำเนิดเกิดในครรภ์จากต้นตระกูลที่บริสุทธิ์หมดจดดี
ยาว สตฺตมา ปิตามหยุคา,ตลอด ๗ ชั่วคน
อกฺขิตฺโต,เป็นผู้อันใครๆ ไม่อาจกีดกันได้
อนุปกฺกุฏฺโฐ,เป็นผู้อันใครๆ ไม่อาจใครติเตียนได้
ชาติวาเทน,โดยแง่ของชาติตระกูล     \par
ยมฺปิ=เยน องฺเคนปิ,เพราะเหตุที่
ภวํ โสณทณฺโฑ,ท่านโสณทัณฑะ
สุชาโต,เป็นผู้ถือกำเนิเกิดมาดี
,โดยทั้ง ๒ ฝ่าย
มาติโต จ,คือทั้งโดยฝ่ายมารดา
ปิติโต จ,และโดยฝ่ายบิดา
สํสุทฺธคหณิโก,เป็นผู้ถือกำเนิดเกิดในครรภ์จากต้นตระกูลที่บริสุทธิ์หมดจดดี
ยาว สตฺตมา ปิตามหยุคา,ตลอด ๗ ชั่วคน
อกฺขิตฺโต,เป็นผู้อันใครๆ ไม่อาจกีดกันได้
อนุปกฺกุฏฺโฐ,เป็นผู้อันใครๆ ไม่อาจใครติเตียนได้
ชาติวาเทน,โดยแง่ของชาติตระกูล
อิมินาปิ องฺเคน,เพราะเหตุนี้
ภวํ โสณทณฺโฑ,ท่านโสณทัณฑะ
น อรหติ,จึงไม่สมควร
อุปสงฺกมิตุํ,ที่จะเข้าไป
ทสฺสนาย,เพื่อเฝ้า
สมณํ โคตมํ,ซึ่งสมณะโคดม
,ในทางตรงข้าม
สมโณ โคตโม เอว,สมณโคดมต่างหาก
อรหติ,ย่อมสมควร
ทสฺสนาย อุปสงฺกมิตุํ,เพื่อเข้ามาเยี่ยม
